ID,fault_code,fault_type_code,dip_angle,numeric_attr,length_m,length_km,azimuth_deg,strike_deg,confidence_code,activity_era_code,occurrence_code,description
354,,01,0.0,8.277881622314453,8274.485612975719,8.274485612975718,56.671384276302895,56.671384276302895,101,101,109,"EK,N2a,K1kz"
355,,01,0.0,3.011890411376953,3010.711744199078,3.010711744199078,84.54332172113885,84.54332172113885,101,101,109,"EK,N2a"
356,,01,0.0,1.7760456800460815,1775.274854484585,1.7752748544845849,117.08767675908506,117.08767675908506,101,101,109,"N1k,N1a"
358,,01,0.0,2.9178223609924316,2916.764819930242,2.916764819930242,103.90049647644153,103.90049647644153,101,101,109,N1k
360,F48,28,0.0,130.55575561523438,9597.458577237263,9.597458577237264,67.01497511955597,67.01497511955597,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
361,,05,0.0,15.509527206420898,15503.416523285112,15.503416523285113,96.1229159288255,96.1229159288255,101,101,101,"N2a,EK"
362,F48,28,0.0,130.55575561523438,1622.6844459648573,1.6226844459648573,164.60299504697284,164.60299504697284,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
363,,05,65.0,3.445913076400757,3444.571256414686,3.444571256414686,86.37842658247904,86.37842658247904,101,101,101,"N2a,EK"
365,,01,0.0,14.635799407958984,14629.892647060231,14.629892647060231,277.3312115374015,97.33121153740149,101,101,109,EK
366,,01,50.0,1.141309142112732,1140.9516838134423,1.1409516838134424,258.8840342686141,78.88403426861407,101,101,109,EK
367,,01,0.0,3.3644609451293945,3363.308921955515,3.363308921955515,109.98606335233453,109.98606335233453,101,101,109,"EK,N1k"
369,,05,25.0,29.011398315429688,28999.96462342731,28.99996462342731,83.05093487646285,83.05093487646285,101,101,101,"EK,N2a,N1k,P2q"
370,,18,0.0,5.816792964935303,5814.3684232810365,5.814368423281037,60.12077233271992,60.12077233271992,101,101,104,"N2a,P2q,EK"
373,F48,05,0.0,130.55575561523438,3165.7067267353405,3.1657067267353405,127.78269274269924,127.78269274269924,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
375,F48,28,0.0,130.55575561523438,1425.7612144009238,1.4257612144009237,147.27597215412487,147.27597215412487,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
377,,01,0.0,21.21673583984375,21208.60858291562,21.208608582915623,87.9019924676422,87.9019924676422,101,101,109,"N1k,EK"
378,F48,05,58.0,130.55575561523438,18616.45565080189,18.61645565080189,92.31416951772117,92.31416951772117,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
379,,01,0.0,2.9854044914245605,2984.249176220518,2.9842491762205183,109.74297306297913,109.74297306297913,101,101,109,"N2a,K1kz"
380,F48,05,65.0,130.55575561523438,8535.359537031349,8.535359537031349,145.3524290861998,145.3524290861998,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
384,,01,0.0,10.523853302001953,10519.892275884054,10.519892275884054,74.06866858969383,74.06866858969383,101,101,109,"N2a,K1kz,Qp1X"
387,,01,0.0,1.9715635776519775,1970.9664441963714,1.9709664441963715,104.22091742888927,104.22091742888927,101,101,109,C1w
388,,01,0.0,1.8197681903839111,1819.1401084750755,1.8191401084750756,88.18809293634533,88.18809293634533,101,101,109,"N2a,K1kz"
389,F48,28,0.0,130.55575561523438,12636.374958679497,12.636374958679497,99.84205739618697,99.84205739618697,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
394,F48,28,0.0,130.55575561523438,12451.831636182664,12.451831636182664,97.4832490143113,97.4832490143113,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
395,F48,28,0.0,130.55575561523438,8687.721154052786,8.687721154052786,81.25047461926184,81.25047461926184,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
396,,01,0.0,2.1796956062316895,2178.848213948031,2.178848213948031,113.58411108574205,113.58411108574205,101,101,109,C1w
397,,05,55.0,28.46559715270996,28454.61790951863,28.454617909518632,100.2983255025284,100.2983255025284,101,101,101,"P2q,C2P1t"
400,F48,28,0.0,130.55575561523438,6655.409232942984,6.655409232942984,83.26585977930955,83.26585977930955,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
402,,01,78.0,3.717939615249634,3716.5796460863203,3.7165796460863203,116.88104317064531,116.88104317064531,101,101,109,"N2a,K2Y,K1kz"
403,F48,28,0.0,130.55575561523438,12113.319827436922,12.113319827436923,89.78538663853901,89.78538663853901,101,102,109,碎裂岩、构造角砾岩、糜棱岩和糜棱岩化岩石、片理化岩石、石英脉、蛇绿岩团块和地层中内生的变砂岩团块
