ID,GZBBGA,strike,dip_dir,dip_angle,dot_strike_tick,angle_deg,label_along_strike_m,label_perp_strike_m
250,202001,99.0,189,20,8.326672684688674e-17,90.0,270.00000000000006,-7.105427357601002e-15
256,202001,103.0,13,14,-2.7755575615628914e-17,90.0,270.0,0.0
260,202001,50.0,320,71,-3.3306690738754696e-16,89.99999999999999,270.0,-5.684341886080802e-14
260,202001,108.0,18,32,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
264,202001,69.0,159,82,-1.6653345369377348e-16,90.0,270.00000000000006,-4.263256414560601e-14
277,202001,135.0,225,23,1.1102230246251565e-16,90.0,270.0,0.0
285,202001,135.0,225,20,1.1102230246251565e-16,90.0,270.0,0.0
278,202001,101.0,191,45,8.326672684688674e-17,90.0,270.0,2.842170943040401e-14
280,202001,86.0,176,58,2.914335439641036e-16,89.99999999999999,269.99999999999994,8.526512829121202e-14
291,202001,77.0,347,50,-4.163336342344337e-16,89.99999999999997,270.0,-1.4921397450962104e-13
297,202001,66.0,336,13,1.1102230246251565e-16,90.0,269.99999999999994,4.263256414560601e-14
292,202001,49.0,139,63,0.0,90.0,270.0,0.0
295,202001,18.0,288,40,-2.220446049250313e-16,89.99999999999999,269.99999999999994,-4.263256414560601e-14
308,202001,55.0,325,62,-4.440892098500626e-16,89.99999999999997,270.0,-1.1368683772161603e-13
311,202001,68.0,158,61,3.3306690738754696e-16,89.99999999999999,269.99999999999994,5.684341886080802e-14
321,202001,80.0,350,81,2.7755575615628914e-17,90.0,269.99999999999994,2.1316282072803006e-14
319,202004,66.0,336,75,1.1102230246251565e-16,90.0,270.0,2.842170943040401e-14
323,202001,68.0,158,48,3.3306690738754696e-16,89.99999999999999,269.99999999999994,5.684341886080802e-14
327,202001,20.0,110,27,0.0,90.0,270.0,0.0
336,202001,111.0,201,30,-1.1102230246251565e-16,90.0,270.0,-5.684341886080802e-14
345,202001,66.0,336,67,1.1102230246251565e-16,90.0,269.99999999999994,4.263256414560601e-14
